,g_let,a_let,t_let,c_let,slope_g_after,slope_a_after,slope_t_after,slope_c_after,slope_g_before,slope_a_before,slope_t_before,slope_c_before,peak_no_peak
85,0.30479746304774635,1.4473204687052497,0.5067491563554556,0.546017541165288,,,,,0.06357738493020476,0.0074796923447300045,0.10471569282621956,-0.07479692344729971,0
86,0.2412200781175416,1.4398407763605197,0.402033463529236,0.6208144646125877,-0.06357738493020476,-0.0074796923447300045,-0.10471569282621956,0.07479692344729971,0.05422776949929228,0.0074796923447300045,0.08227661579202972,-0.0654473080163872,0
87,0.1869923086182493,1.4323610840157897,0.3197568477372063,0.6862617726289749,-0.05422776949929228,-0.0074796923447300045,-0.08227661579202972,0.0654473080163872,0.04487815406837983,0.013089461603277508,0.06170746184402226,-0.05048792332692731,0
88,0.14211415454986948,1.4192716224125121,0.25804938589318405,0.7367496959559022,-0.04487815406837983,-0.013089461603277508,-0.06170746184402226,0.05048792332692731,0.03365861555128488,0.026178923206554794,0.04113830789601486,-0.03365861555128491,0
89,0.1084555389985846,1.3930926992059574,0.2169110779971692,0.7704083115071871,-0.03365861555128488,-0.026178923206554794,-0.04113830789601486,0.03365861555128491,0.026178923206554905,0.043008230982197304,0.026178923206554905,-0.0168293077756424,0
90,0.08227661579202969,1.35008446822376,0.19073215479061428,0.7872376192828295,-0.026178923206554905,-0.043008230982197304,-0.026178923206554905,0.0168293077756424,0.016829307775642427,0.06357738493020482,0.013089461603277452,0.0037398461723650023,1
91,0.06544730801638726,1.2865070832935552,0.17764269318733683,0.7834977731104645,-0.016829307775642427,-0.06357738493020482,-0.013089461603277452,-0.0037398461723650023,0.01308946160327746,0.08040669270584733,0.0,0.0168293077756424,0
92,0.0523578464131098,1.206100390587708,0.17764269318733683,0.7666684653348221,-0.01308946160327746,-0.08040669270584733,0.0,-0.0168293077756424,0.009349615430912464,0.09536607739530711,-0.014959384689459954,0.028048846292737406,0
93,0.04300823098219734,1.1107343131924008,0.19260207787679678,0.7386196190420847,-0.009349615430912464,-0.09536607739530711,0.014959384689459954,-0.028048846292737406,0.005609769258547476,0.10284576974003712,-0.02991876937891988,0.03365861555128491,0
94,0.03739846172364986,1.0078885434523637,0.22252084725571666,0.7049610034907998,-0.005609769258547476,-0.10284576974003712,0.02991876937891988,-0.03365861555128491,0.0037398461723649884,0.10845553899858451,-0.048618000240744835,0.0336586155512848,0
95,0.033658615551284875,0.8994330044537792,0.2711388474964615,0.671302387939515,-0.0037398461723649884,-0.10845553899858451,0.048618000240744835,-0.0336586155512848,0.003739846172364985,0.10471569282621962,-0.06170746184402226,0.029918769378919907,0
96,0.02991876937891989,0.7947173116275595,0.33284630934048376,0.6413836185605951,-0.003739846172364985,-0.10471569282621962,0.06170746184402226,-0.029918769378919907,0.0037398461723649884,0.09910592356767212,-0.07105707727493471,0.0168293077756424,0
97,0.0261789232065549,0.6956113880598874,0.40390338661541847,0.6245543107849527,-0.0037398461723649884,-0.09910592356767212,0.07105707727493471,-0.0168293077756424,0.0018699230861824907,0.08788638505057722,-0.07292700036111727,-0.0037398461723648913,0
98,0.02430900012037241,0.6077250030093102,0.47683038697653574,0.6282941569573176,-0.0018699230861824907,-0.08788638505057722,0.07292700036111727,0.0037398461723648913,0.0037398461723649884,0.06918715418875221,-0.06731723110256976,-0.022439077034190014,0
99,0.020569153948007422,0.538537848820558,0.5441476180791055,0.6507332339915076,-0.0037398461723649884,-0.06918715418875221,0.06731723110256976,0.022439077034190014,0.003739846172364985,0.05048792332692731,-0.05796761567165731,-0.044878154068379805,0
100,0.016829307775642437,0.4880499254936307,0.6021152337507628,0.6956113880598874,-0.003739846172364985,-0.05048792332692731,0.05796761567165731,0.044878154068379805,0.005609769258547479,0.026178923206554905,-0.043008230982197304,-0.061707461844022204,0
101,0.011219538517094958,0.4618710022870758,0.6451234647329601,0.7573188499039096,-0.005609769258547479,-0.026178923206554905,0.043008230982197304,0.061707461844022204,0.005609769258547479,0.007479692344729949,-0.0205691539480074,-0.07666684653348221,0
102,0.005609769258547479,0.45439130994234583,0.6656926186809675,0.8339856964373918,-0.005609769258547479,-0.007479692344729949,0.0205691539480074,0.07666684653348221,0.003739846172364986,-0.014959384689459898,0.0,-0.07853676961966471,1
103,0.0018699230861824931,0.46935069463180573,0.6656926186809675,0.9125224660570566,-0.003739846172364986,0.014959384689459898,0.0,0.07853676961966471,0.0018699230861824931,-0.026178923206554905,0.022439077034189903,-0.07666684653348221,0
104,0.0,0.49552961783836064,0.6432535416467776,0.9891893125905388,-0.0018699230861824931,0.026178923206554905,-0.022439077034189903,0.07666684653348221,0.0,-0.033658615551284854,0.044878154068379805,-0.0654473080163872,0
105,0.0,0.5291882333896455,0.5983753875783978,1.054636620606926,0.0,0.033658615551284854,-0.044878154068379805,0.0654473080163872,0.0,-0.03552853863746741,0.05796761567165731,-0.04674807715456253,0
106,0.0,0.5647167720271129,0.5404077719067405,1.1013846977614885,0.0,0.03552853863746741,-0.05796761567165731,0.04674807715456253,0.0,-0.028048846292737406,0.06544730801638726,-0.02243907703418979,0
107,0.0,0.5927656183198503,0.47496046389035323,1.1238237747956783,0.0,0.028048846292737406,-0.06544730801638726,0.02243907703418979,0.0,-0.014959384689459898,0.06731723110256976,0.0018699230861825011,0
108,0.0,0.6077250030093102,0.40764323278778347,1.1219538517094958,0.0,0.014959384689459898,-0.06731723110256976,-0.0018699230861825011,0.0,-0.0018699230861825011,0.06357738493020476,0.028048846292737295,0
109,0.0,0.6095949260954927,0.3440658478575787,1.0939050054167585,0.0,0.0018699230861825011,-0.06357738493020476,-0.028048846292737295,0.0,0.0168293077756424,0.05983753875783976,0.05048792332692731,1
110,0.0,0.5927656183198503,0.28422830909973895,1.0434170820898312,0.0,-0.0168293077756424,-0.05983753875783976,-0.05048792332692731,0.0,0.03365861555128491,0.05422776949929231,0.06918715418875232,0
111,0.0,0.5591070027685654,0.23000053960044664,0.9742299279010789,0.0,-0.03365861555128491,-0.05422776949929231,-0.06918715418875232,0.0,0.044878154068379805,0.046748077154562334,0.08227661579202972,0
112,0.0,0.5142288487001856,0.1832524624458843,0.8919533121090492,0.0,-0.044878154068379805,-0.046748077154562334,-0.08227661579202972,0.0,0.05422776949929231,0.03926838480983233,0.09536607739530711,0
113,0.0,0.4600010792008933,0.14398407763605198,0.796587234713742,0.0,-0.05422776949929231,-0.03926838480983233,-0.09536607739530711,0.0,0.05796761567165726,0.028048846292737406,0.09910592356767212,0
114,0.0,0.402033463529236,0.11593523134331457,0.6974813111460699,0.0,-0.05796761567165726,-0.028048846292737406,-0.09910592356767212,0.0,0.05609769258547481,0.011219538517094965,0.10284576974003712,0
115,0.0,0.3459357709437612,0.1047156928262196,0.5946355414060328,0.0,-0.05609769258547481,-0.011219538517094965,-0.10284576974003712,0.0,0.05048792332692731,-0.0056097692585474895,0.10097584665385467,0
116,0.0,0.2954478476168339,0.1103254620847671,0.49365969475217814,0.0,-0.05048792332692731,0.0056097692585474895,-0.10097584665385467,0.0,0.037398461723649856,-0.02804884629273738,0.09723600048148962,0
117,0.0,0.25804938589318405,0.13837430837750447,0.3964236942706885,0.0,-0.037398461723649856,0.02804884629273738,-0.09723600048148962,0.0,0.024309000120372404,-0.04487815406837983,0.08788638505057716,0
118,0.0,0.23374038577281164,0.1832524624458843,0.30853730922011136,0.0,-0.024309000120372404,0.04487815406837983,-0.08788638505057716,0.0,0.005609769258547503,-0.06357738493020476,0.07853676961966471,0
