,g_let,a_let,t_let,c_let,slope_g_after,slope_a_after,slope_t_after,slope_c_after,slope_g_before,slope_a_before,slope_t_before,slope_c_before,peak_no_peak
147,1.0366248848849622,0.04594968461369513,0.0,0.924507654427546,,,,,0.10660326830377276,0.0018379873845478026,-0.0018379873845478052,-0.02940779815276484,0
148,0.9300216165811894,0.044111697229147324,0.0018379873845478052,0.9539154525803109,-0.10660326830377276,-0.0018379873845478026,0.0018379873845478052,0.02940779815276484,0.10660326830377276,0.003675974769095612,-0.014703899076382441,-0.012865911691834597,0
149,0.8234183482774167,0.04043572246005171,0.016541886460930248,0.9667813642721454,-0.10660326830377276,-0.003675974769095612,0.014703899076382441,0.012865911691834597,0.10476528091922488,0.0018379873845478026,-0.020217861230025853,0.007351949538191183,0
150,0.7186530673581918,0.03859773507550391,0.0367597476909561,0.9594294147339543,-0.10476528091922488,-0.0018379873845478026,0.020217861230025853,-0.007351949538191183,0.10108930615012923,0.0018379873845478095,-0.031245785537312686,0.03124578553731272,0
151,0.6175637612080626,0.0367597476909561,0.06800553322826879,0.9281836291966415,-0.10108930615012923,-0.0018379873845478095,0.031245785537312686,-0.03124578553731272,0.09925131876558146,0.0018379873845478026,-0.04594968461369513,0.05330163415188627,0
152,0.5183124424424811,0.0349217603064083,0.11395521784196391,0.8748819950447553,-0.09925131876558146,-0.0018379873845478026,0.04594968461369513,-0.05330163415188627,0.09006138184284251,-0.0018379873845478026,-0.058815596305529766,0.07168150799736439,1
153,0.4282510605996386,0.0367597476909561,0.17277081414749368,0.8032004870473909,-0.09006138184284251,0.0018379873845478026,0.058815596305529766,-0.07168150799736439,0.0808714449201034,0.0,-0.0680055332282688,0.08087144492010345,0
154,0.3473796156795352,0.0367597476909561,0.24077634737576248,0.7223290421272874,-0.0808714449201034,0.0,0.0680055332282688,-0.08087144492010345,0.06984352061281662,-0.0018379873845478095,-0.0808714449201034,0.08270943230465122,0
155,0.27753609506671856,0.03859773507550391,0.3216477922958659,0.6396196098226362,-0.06984352061281662,0.0018379873845478095,0.0808714449201034,-0.08270943230465122,0.06065358369007756,0.0,-0.0937373566119381,0.0771954701510078,0
156,0.216882511376641,0.03859773507550391,0.415385148907804,0.5624241396716284,-0.06065358369007756,0.0,0.0937373566119381,-0.0771954701510078,0.04962565938279073,0.0,-0.10476528091922488,0.06065358369007756,0
157,0.16725685199385026,0.03859773507550391,0.5201504298270289,0.5017705559815508,-0.04962565938279073,0.0,0.10476528091922488,-0.06065358369007756,0.0404357224600517,0.0018379873845478095,-0.11211723045741606,0.04043572246005178,0
158,0.12682112953379857,0.0367597476909561,0.6322676602844449,0.46133483352149907,-0.0404357224600517,-0.0018379873845478095,0.11211723045741606,-0.04043572246005178,0.031245785537312692,0.0018379873845478026,-0.11763119261105959,0.018379873845478012,0
159,0.09557534399648587,0.0349217603064083,0.7498988528955045,0.44295495967602105,-0.031245785537312692,-0.0018379873845478026,0.11763119261105959,-0.018379873845478012,0.02389383599912147,0.0018379873845478026,-0.11763119261105948,-0.0018379873845477679,0
160,0.0716815079973644,0.033083772921860495,0.867530045506564,0.4447929470605688,-0.02389383599912147,-0.0018379873845478026,0.11763119261105948,0.0018379873845477679,0.01654188646093025,0.001837987384547806,-0.1102792430728684,-0.02021786123002589,0
161,0.055139621536434154,0.03124578553731269,0.9778092885794324,0.4650108082905947,-0.01654188646093025,-0.001837987384547806,0.1102792430728684,0.02021786123002589,0.012865911691834639,0.001837987384547806,-0.09741333138103359,-0.03308377292186049,0
162,0.042273709844599515,0.029407798152764883,1.075222619960466,0.4980945812124552,-0.012865911691834639,-0.001837987384547806,0.09741333138103359,0.03308377292186049,0.012865911691834632,0.0,-0.08270943230465133,-0.036759747690956135,0
163,0.029407798152764883,0.029407798152764883,1.1579320522651173,0.5348543289034113,-0.012865911691834632,0.0,0.08270943230465133,0.036759747690956135,0.007351949538191221,0.0,-0.06065358369007745,-0.036759747690956024,0
164,0.022055848614573662,0.029407798152764883,1.2185856359551948,0.5716140765943674,-0.007351949538191221,0.0,0.06065358369007745,0.036759747690956024,0.007351949538191221,-0.001837987384547806,-0.04227370984459955,-0.029407798152764952,0
165,0.014703899076382441,0.03124578553731269,1.2608593457997943,0.6010218747471323,-0.007351949538191221,0.001837987384547806,0.04227370984459955,0.029407798152764952,0.005513962153643416,-0.001837987384547806,-0.023893835999121427,-0.014703899076382365,0
166,0.009189936922739025,0.033083772921860495,1.2847531817989157,0.6157257738235147,-0.005513962153643416,0.001837987384547806,0.023893835999121427,0.014703899076382365,0.0036759747690956095,0.0,-0.005513962153643526,-0.001837987384547879,1
167,0.0055139621536434156,0.033083772921860495,1.2902671439525593,0.6175637612080626,-0.0036759747690956095,0.0,0.005513962153643526,0.001837987384547879,0.0018379873845478052,0.001837987384547806,0.005513962153643526,0.014703899076382476,0
168,0.0036759747690956104,0.03124578553731269,1.2847531817989157,0.6028598621316801,-0.0018379873845478052,-0.001837987384547806,-0.005513962153643526,-0.014703899076382476,0.0018379873845478052,0.003675974769095612,0.012865911691834597,0.02940779815276484,0
169,0.0018379873845478052,0.027569810768217077,1.2718872701070811,0.5734520639789152,-0.0018379873845478052,-0.003675974769095612,-0.012865911691834597,-0.02940779815276484,0.0018379873845478052,0.0036759747690956086,0.02021786123002589,0.045949684613695196,0
170,0.0,0.02389383599912147,1.2516694088770552,0.52750237936522,-0.0018379873845478052,-0.0036759747690956086,-0.02021786123002589,-0.045949684613695196,0.0,0.005513962153643418,0.023893835999121427,0.05881559630552974,0
171,0.0,0.01837987384547805,1.2277755728779338,0.4686867830596903,0.0,-0.005513962153643418,-0.023893835999121427,-0.05881559630552974,0.0,0.0036759747690956086,0.023893835999121427,0.06984352061281657,0
172,0.0,0.014703899076382441,1.2038817368788124,0.39884326244687374,0.0,-0.0036759747690956086,-0.023893835999121427,-0.06984352061281657,0.0,-0.001837987384547806,0.02205584861457366,0.07168150799736445,0
173,0.0,0.016541886460930248,1.1818258882642387,0.3271617544495093,0.0,0.001837987384547806,-0.02205584861457366,-0.07168150799736445,0.0,-0.005513962153643415,0.016541886460930355,0.07168150799736439,0
174,0.0,0.022055848614573662,1.1652840018033084,0.2554802464521449,0.0,0.005513962153643415,-0.016541886460930355,-0.07168150799736439,0.0,-0.011027924307286833,0.0073519495381910716,0.06432955845917315,0
175,0.0,0.033083772921860495,1.1579320522651173,0.19115068799297175,0.0,0.011027924307286833,-0.0073519495381910716,-0.06432955845917315,0.0,-0.018379873845478047,-0.0018379873845477679,0.051463646767338556,0
176,0.0,0.05146364676733854,1.159770039649665,0.1396870412256332,0.0,0.018379873845478047,0.0018379873845477679,-0.051463646767338556,0.0,-0.02389383599912147,-0.012865911691834597,0.04043572246005171,0
177,0.0,0.07535748276646001,1.1726359513414997,0.09925131876558148,0.0,0.02389383599912147,0.012865911691834597,-0.04043572246005171,0.0,-0.031245785537312692,-0.02021786123002589,0.025731823383669278,1
178,0.0,0.1066032683037727,1.1928538125715256,0.0735194953819122,0.0,0.031245785537312692,0.02021786123002589,-0.025731823383669278,0.0,-0.034921760306408284,-0.02205584861457366,0.016541886460930244,0
179,0.0,0.141525028610181,1.2149096611860992,0.056977608920981956,0.0,0.034921760306408284,0.02205584861457366,-0.016541886460930244,-0.0036759747690956104,-0.044111697229147345,-0.025731823383669195,0.00918993692273902,0
180,0.0036759747690956104,0.18563672583932833,1.2406414845697684,0.04778767199824294,0.0036759747690956104,0.044111697229147345,0.025731823383669195,-0.00918993692273902,-0.011027924307286831,-0.04778767199824291,-0.023893835999121427,0.007351949538191224,0
