,g_let,a_let,t_let,c_let,slope_g_after,slope_a_after,slope_t_after,slope_c_after,slope_g_before,slope_a_before,slope_t_before,slope_c_before,peak_no_peak
89,0.10059695985346152,0.4640440406143547,0.22390936225447886,0.45430885095111656,,,,,0.024337974158095535,0.08923923857968358,0.040563290263492535,-0.016225316105397014,0
90,0.07625898569536599,0.37480480203467115,0.18334607199098632,0.4705341670565136,-0.024337974158095535,-0.08923923857968358,-0.040563290263492535,0.016225316105397014,0.021092910937016124,0.07301392247428656,0.03569569543187345,-0.011357721273777877,0
91,0.055166074758349865,0.3017908795603846,0.14765037655911287,0.48189188833029145,-0.021092910937016124,-0.07301392247428656,-0.03569569543187345,0.011357721273777877,0.01622531610539702,0.056788606368889605,0.03082810060025433,-0.003245063221079425,0
92,0.038940758652952843,0.24500227319149498,0.11682227595885854,0.4851369515513709,-0.01622531610539702,-0.056788606368889605,-0.03082810060025433,0.003245063221079425,0.012980252884317613,0.040563290263492535,0.022715442547555822,0.0064901264421587945,0
93,0.02596050576863523,0.20443898292800244,0.09410683341130271,0.4786468251092121,-0.012980252884317613,-0.040563290263492535,-0.022715442547555822,-0.0064901264421587945,0.00811265805269851,0.025960505768635234,0.014602784494857315,0.02109291093701615,0
94,0.01784784771593672,0.1784784771593672,0.0795040489164454,0.45755391417219593,-0.00811265805269851,-0.025960505768635234,-0.014602784494857315,-0.02109291093701615,0.008112658052698509,0.00973518966323822,0.003245063221079411,0.03245063221079403,1
95,0.009735189663238211,0.168743287496129,0.07625898569536599,0.4251032819614019,-0.008112658052698509,-0.00973518966323822,-0.003245063221079411,-0.03245063221079403,0.0048675948316191054,-0.0016225316105397125,-0.011357721273777918,0.04543088509511167,0
96,0.0048675948316191054,0.1703658191066687,0.0876167069691439,0.37967239686629023,-0.0048675948316191054,0.0016225316105397125,0.011357721273777918,-0.04543088509511167,0.0016225316105397017,-0.016225316105397014,-0.022715442547555822,0.053543543147810124,0
97,0.0032450632210794038,0.18659113521206572,0.11033214951669973,0.3261288537184801,-0.0016225316105397017,0.016225316105397014,0.022715442547555822,-0.053543543147810124,0.0032450632210794038,-0.027583037379174946,-0.03569569543187345,0.056788606368889605,0
98,0.0,0.21417417259124066,0.14602784494857318,0.2693402473495905,-0.0032450632210794038,0.027583037379174946,0.03569569543187345,-0.056788606368889605,0.0,-0.03894075865295282,-0.04867594831619104,0.05192101153727044,0
99,0.0,0.2531149312441935,0.19470379326476422,0.21741923581232006,0.0,0.03894075865295282,0.04867594831619104,-0.05192101153727044,0.0,-0.0486759483161911,-0.05841113797942926,0.045430885095111645,0
